

Date	        Open	        High	        Low	        Close*	       Adj Close**	Volume
Aug 15, 2010	1,077.49	1,100.14	1,063.91	1,071.69	1,071.69	18,887,030,000
Aug 08, 2010	1,122.80	1,129.24	1,076.69	1,079.25	1,079.25	20,320,520,000
Aug 01, 2010	1,107.53	1,128.75	1,107.17	1,121.64	1,121.64	19,817,300,000
Jul 25, 2010	1,102.89	1,120.95	1,088.01	1,101.60	1,101.60	21,356,600,000
Jul 18, 2010	1,066.85	1,103.73	1,056.88	1,102.66	1,102.66	22,901,430,000
Jul 11, 2010	1,077.23	1,099.46	1,063.32	1,064.88	1,064.88	22,438,320,000
Jul 04, 2010	1,028.09	1,078.16	1,018.35	1,077.96	1,077.96	17,677,490,000
Jun 27, 2010	1,077.50	1,082.60	1,010.91	1,022.58	1,022.58	25,504,460,000
Jun 20, 2010	1,122.79	1,131.23	1,067.89	1,076.76	1,076.76	23,498,560,000
Jun 13, 2010	1,095.00	1,121.01	1,089.03	1,117.51	1,117.51	23,186,040,000
Jun 06, 2010	1,065.84	1,092.25	1,042.17	1,091.60	1,091.60	26,847,570,000
May 30, 2010	1,087.30	1,105.67	1,060.50	1,064.88	1,064.88	21,474,390,000
May 23, 2010	1,084.78	1,103.52	1,040.78	1,089.41	1,089.41	27,644,340,000
May 16, 2010	1,136.52	1,148.66	1,055.90	1,087.69	1,087.69	32,640,260,000
May 09, 2010	1,122.27	1,173.57	1,122.27	1,135.68	1,135.68	28,958,750,000
May 02, 2010	1,188.58	1,205.13	1,065.79	1,110.88	1,110.88	38,419,430,000
Apr 25, 2010	1,217.07	1,219.80	1,181.62	1,186.69	1,186.69	31,552,280,000
Apr 18, 2010	1,192.06	1,217.28	1,183.68	1,217.28	1,217.28	29,000,480,000
Apr 11, 2010	1,194.94	1,213.92	1,186.77	1,192.13	1,192.13	29,874,510,000
Apr 04, 2010	1,178.71	1,194.66	1,175.12	1,194.37	1,194.37	22,307,770,000
Mar 28, 2010	1,167.71	1,181.43	1,165.77	1,178.10	1,178.10	16,951,790,000
Mar 21, 2010	1,157.25	1,180.69	1,152.88	1,166.59	1,166.59	23,756,390,000
Mar 14, 2010	1,148.53	1,169.84	1,141.45	1,159.90	1,159.90	22,944,000,000
Mar 08, 2010	1,138.40	1,153.41	1,134.90	1,149.99	1,149.99	24,026,590,000
Mar 01, 2010	1,105.36	1,139.38	1,105.36	1,138.70	1,138.70	20,011,650,000
Feb 22, 2010	1,110.00	1,112.29	1,086.02	1,104.49	1,104.49	20,970,170,000
Feb 15, 2010	1,079.13	1,112.42	1,079.13	1,109.17	1,109.17	16,162,900,000
Feb 08, 2010	1,065.51	1,080.04	1,056.51	1,075.51	1,075.51	22,017,080,000
Feb 01, 2010	1,073.89	1,104.73	1,044.50	1,066.19	1,066.19	25,411,190,000
Jan 25, 2010	1,092.40	1,103.69	1,071.59	1,073.87	1,073.87	25,397,670,000
Jan 18, 2010	1,136.03	1,150.45	1,090.18	1,091.76	1,091.76	22,618,330,000
Jan 11, 2010	1,145.96	1,150.41	1,131.39	1,136.03	1,136.03	21,816,230,000
Jan 04, 2010	1,116.56	1,145.39	1,116.56	1,144.98	1,144.98	21,115,350,000
Dec 28, 2009	1,127.53	1,130.38	1,114.81	1,115.10	1,115.10	9,561,710,000
Dec 21, 2009	1,105.31	1,126.48	1,105.31	1,126.48	1,126.48	12,053,050,000
Dec 14, 2009	1,107.84	1,116.21	1,093.88	1,102.47	1,102.47	28,364,370,000
Dec 07, 2009	1,105.52	1,110.72	1,085.89	1,106.41	1,106.41	20,754,380,000
Nov 30, 2009	1,091.07	1,119.13	1,086.25	1,105.98	1,105.98	22,677,340,000
Nov 23, 2009	1,094.86	1,112.38	1,083.74	1,091.49	1,091.49	12,928,000,000
Nov 16, 2009	1,094.13	1,113.69	1,086.81	1,091.38	1,091.38	20,612,520,000
Nov 09, 2009	1,072.31	1,105.37	1,072.31	1,093.48	1,093.48	21,094,360,000
Nov 02, 2009	1,036.18	1,071.48	1,029.38	1,069.30	1,069.30	26,451,130,000
Oct 25, 2009	1,080.36	1,091.75	1,033.38	1,036.19	1,036.19	30,408,570,000
Oct 18, 2009	1,088.22	1,101.36	1,074.31	1,079.60	1,079.60	25,592,330,000
Oct 11, 2009	1,071.63	1,096.56	1,066.71	1,087.68	1,087.68	23,701,850,000
Oct 04, 2009	1,026.87	1,071.51	1,025.92	1,071.49	1,071.49	22,333,550,000
Sep 27, 2009	1,045.38	1,069.62	1,019.95	1,025.21	1,025.21	26,050,400,000
Sep 20, 2009	1,067.14	1,080.15	1,041.17	1,044.38	1,044.38	25,406,510,000
Sep 13, 2009	1,040.15	1,074.77	1,035.00	1,068.30	1,068.30	30,234,840,000
Sep 06, 2009	1,018.67	1,048.18	1,018.67	1,042.73	1,042.73	20,551,690,000
Aug 30, 2009	1,025.21	1,028.45	991.97	        1,016.40	1,016.40	26,431,300,000
Aug 23, 2009	1,026.59	1,039.47	1,016.20	1,028.93	1,028.93	28,722,910,000
Aug 16, 2009	998.18	        1,027.59	978.51	        1,026.13	1,026.13	23,323,250,000
Aug 09, 2009	1,008.89	1,013.14	992.40	        1,004.09	1,004.09	26,868,820,000
Aug 02, 2009	990.22	        1,018.00	990.22	        1,010.48	1,010.48	32,139,730,000
Jul 26, 2009	978.63	        996.68	        968.65	        987.48	        987.48	        26,474,660,000
Jul 19, 2009	942.07	        979.79	        940.99	        979.26	        979.26	        25,016,500,000
Jul 12, 2009	879.57	        943.96	        875.32	        940.38	        940.38	        23,927,320,000
Jul 05, 2009	894.27	        898.72	        869.32	        879.13	        879.13	        23,366,910,000
Jun 28, 2009	919.86	        931.92	        896.42	        896.42	        896.42	        16,689,730,000
Jun 21, 2009	918.13	        922.00	        888.86	        918.90	        918.90	        25,599,580,000
Jun 14, 2009	942.45	        942.45	        903.78	        921.23	        921.23	        25,570,130,000
Jun 07, 2009	938.12	        956.23	        926.44	        946.21	        946.21	        24,331,760,000
May 31, 2009	923.26	        951.69	        923.26	        940.09	        940.09	        28,312,350,000
May 24, 2009	887.00	        920.02	        881.46	        919.14	        919.14	        23,155,250,000
May 17, 2009	886.07	        924.60	        879.61	        887.00	        887.00	        31,698,640,000
May 10, 2009	922.99	        922.99	        878.94	        882.88	        882.88	        31,688,760,000
May 03, 2009	879.21	        930.17	        879.21	        929.23	        929.23	        39,760,120,000
Apr 26, 2009	862.82	        888.70	        847.12	        877.52	        877.52	        30,217,790,000
Apr 19, 2009	868.27	        871.80	        826.83	        866.23	        866.23	        35,415,850,000
Apr 12, 2009	855.33	        875.63	        835.58	        869.60	        869.60	        34,196,510,000
Apr 05, 2009	839.75	        856.91	        814.53	        856.56	        856.56	        24,904,750,000
Mar 29, 2009	809.07	        845.61	        779.81	        842.50	        842.50	        31,434,350,000
Mar 22, 2009	772.31	        832.98	        772.31	        815.94	        815.94	        34,764,100,000
Mar 15, 2009	758.84	        803.24	        749.93	        768.54	        768.54	        39,816,380,000
Mar 08, 2009	680.76	        758.29	        672.88	        756.55	        756.55	        37,297,180,000
Mar 02, 2009	729.57	        729.57	        666.79	        683.38	        683.38	        37,964,220,000
Feb 23, 2009	773.25	        780.12	         34.52	        735.09	        735.09	        37,753,880,000
Feb 16, 2009	818.61	        818.61	        754.25	        770.05	        770.05  	25,606,060,000
Feb 09, 2009	868.24	        875.01	        808.06	        826.84	        826.84  	30,044,110,000
Feb 02, 2009	823.09	        870.75	        812.87	        868.60	        868.60	        31,088,160,000
Jan 26, 2009	832.50	        877.86         	821.67	        825.88	        825.88	        28,010,020,000
Jan 19, 2009	849.64	        849.64      	804.30  	831.95  	831.95  	24,519,050,000
Jan 12, 2009	890.40  	890.40  	817.04  	850.12  	850.12  	30,293,780,000
Jan 05, 2009	929.17   	943.85  	888.31  	890.35  	890.35  	25,219,520,000
Dec 29, 2008	872.37	        934.73  	857.07  	931.80  	931.80  	15,172,440,000
Dec 22, 2008	887.20	        887.37  	857.09  	872.80  	872.80  	12,348,420,000
Dec 15, 2008	881.07  	918.85  	857.72  	887.88  	887.88  	29,279,860,000
Dec 08, 2008	882.71  	918.57  	851.35  	879.73  	879.73  	29,662,270,000
Dec 01, 2008	888.61	        888.61   	815.69   	876.07  	876.07  	30,469,750,000
Nov 24, 2008	801.20  	896.25  	801.20  	896.24  	896.24  	23,366,260,000
Nov 17, 2008	873.23  	882.29  	741.02  	800.03  	800.03  	36,745,200,000
Nov 10, 2008	936.75  	951.95  	818.69  	873.29  	873.29	        29,064,670,000
Nov 03, 2008	968.67  	1,007.51  	899.73  	930.99  	930.99  	26,484,080,000
Oct 26, 2008	874.28  	984.38  	845.27  	968.75  	968.75  	32,302,980,000
Oct 19, 2008	943.51  	985.44  	852.85  	876.77  	876.77  	30,185,400,000
Oct 12, 2008	912.75  	1,044.31	865.83  	940.55  	940.55  	36,533,970,000
Oct 05, 2008	1,097.56	1,097.56	839.80	        899.22  	899.22  	42,016,790,000
Sep 28, 2008	1,209.07	1,209.07	1,098.14	1,099.23	1,099.23	31,026,630,000
Sep 21, 2008	1,255.37	1,255.37	1,179.79	1,213.27	1,213.27	26,635,470,000
Sep 14, 2008	1,250.92	1,265.12	1,133.50	1,255.08	1,255.08	46,641,070,000
Sep 07, 2008	1,249.50	1,274.42	1,211.54	1,251.70	1,251.70	34,417,920,000
Aug 31, 2008	1,287.83	1,303.04	1,217.23	1,242.31	1,242.31	20,070,120,000
Aug 24, 2008	1,290.47	1,300.68	1,263.21	1,282.83	1,282.83	17,650,180,000
Aug 17, 2008	1,298.14	1,300.22	1,261.16	1,292.20	1,292.20	20,317,740,000
Aug 10, 2008	1,294.42	1,313.15	1,274.86	1,298.20	1,298.20	22,672,020,000
Aug 03, 2008	1,253.27	1,297.85	1,247.45	1,296.32	1,296.32	20,941,200,000
Jul 27, 2008	1,257.76	1,284.93	1,234.37	1,260.31	1,260.31	25,359,450,000
Jul 20, 2008	1,261.82	1,291.17	1,248.83	1,257.76	1,257.76	28,317,240,000
Jul 13, 2008	1,241.61	1,262.31	1,200.44	1,260.68	1,260.68	32,555,620,000
Jul 06, 2008	1,262.90	1,277.36	1,225.35	1,239.49	1,239.49	29,063,160,000
Jun 29, 2008	1,278.06	1,292.17	1,252.01	1,262.90	1,262.90	19,402,300,000
Jun 22, 2008	1,319.77	1,335.63	1,272.00	1,278.38	1,278.38	25,156,600,000
Jun 15, 2008	1,358.85	1,366.59	1,314.46	1,317.93	1,317.93	22,219,040,000
Jun 08, 2008	1,360.83	1,370.63	1,331.29	1,360.03	1,360.03	22,634,280,000
Jun 01, 2008	1,399.62	1,404.05	1,359.90	1,360.68	1,360.68	21,571,790,000
May 25, 2008	1,375.97	1,406.32	1,373.07	1,400.38	1,400.38	15,256,170,000
May 18, 2008	1,425.28	1,440.24	1,373.72	1,375.93	1,375.93	19,528,620,000
May 11, 2008	1,389.40	1,425.82	1,386.20	1,425.35	1,425.35	19,047,660,000
May 04, 2008	1,415.34	1,421.57	1,384.11	1,388.28	1,388.28	18,756,220,000
Apr 27, 2008	1,397.96	1,422.72	1,383.07	1,413.90	1,413.90	20,333,020,000
Apr 20, 2008	1,387.72	1,399.11	1,369.84	1,397.84	1,397.84	19,698,890,000
Apr 13, 2008	1,332.20	1,395.90	1,324.35	1,390.33	1,390.33	19,342,880,000
Apr 06, 2008	1,373.69	1,386.74	1,331.21	1,332.83	1,332.83	18,316,890,000
Mar 30, 2008	1,315.92	1,380.91	1,312.81	1,370.40	1,370.40	20,877,750,000
Mar 23, 2008	1,330.29	1,359.68	1,312.95	1,315.22	1,315.22	20,424,700,000
Mar 16, 2008	1,283.21	1,341.51	1,256.98	1,329.51	1,329.51	22,522,410,000
Mar 09, 2008	1,293.16	1,333.26	1,272.66	1,288.14	1,288.14	24,011,740,000
Mar 03, 2008	1,330.45	1,344.19	1,282.43	1,293.37	1,293.37	22,041,330,000
Feb 25, 2008	1,352.75	1,388.34	1,325.42	1,330.63	1,330.63	20,232,420,000
Feb 18, 2008	1,355.86	1,367.94	1,327.04	1,353.11	1,353.11	14,753,390,000
Feb 11, 2008	1,331.92	1,369.23	1,320.32	1,349.99	1,349.99	18,722,260,000
Feb 04, 2008	1,395.38	1,395.38	1,316.75	1,331.29	1,331.29	20,177,290,000
Jan 28, 2008	1,330.70	1,396.02	1,322.26	1,395.42	1,395.42	22,697,710,000
Jan 21, 2008	1,312.94	1,368.56	1,270.05	1,330.61	1,330.61	20,403,920,000
Jan 14, 2008	1,402.91	1,417.89	1,312.51	1,325.19	1,325.19	25,032,320,000
Jan 07, 2008	1,414.07	1,430.28	1,378.70	1,401.02	1,401.02	23,944,010,000
Dec 31, 2007	1,475.25	1,475.83	1,411.19	1,411.63	1,411.63	13,489,030,000
Dec 24, 2007	1,484.55	1,498.85	1,471.70	1,478.49	1,478.49	8,064,200,000
Dec 17, 2007	1,465.05	1,485.40	1,435.65	1,484.46	1,484.46	18,729,500,000
Dec 10, 2007	1,505.11	1,523.57	1,467.78	1,467.95	1,467.95	18,510,280,000
Dec 03, 2007	1,479.63	1,510.63	1,460.66	1,504.66	1,504.66	17,076,810,000
Nov 26, 2007	1,440.74	1,488.94	1,406.10	1,481.14	1,481.14	20,482,140,000
Nov 19, 2007	1,456.70	1,456.70	1,415.64	1,440.70	1,440.70	14,683,750,000
Nov 12, 2007	1,453.66	1,492.14	1,438.53	1,458.74	1,458.74	20,475,180,000
Nov 05, 2007	1,505.61	1,520.77	1,448.51	1,453.70	1,453.70	22,078,420,000
Oct 28, 2007	1,536.92	1,552.76	1,492.53	1,509.65	1,509.65	18,817,530,000
Oct 21, 2007	1,497.79	1,535.53	1,489.56	1,535.28	1,535.28	18,580,330,000
Oct 14, 2007	1,562.25	1,564.74	1,500.26	1,500.63	1,500.63	17,376,100,000
Oct 07, 2007	1,556.51	1,576.09	1,546.72	1,561.80	1,561.80	14,717,400,000
Sep 30, 2007	1,527.29	1,561.91	1,527.25	1,557.59	1,557.59	15,058,680,000
Sep 23, 2007	1,525.75	1,533.74	1,507.13	1,526.75	1,526.75	15,354,000,000
Sep 16, 2007	1,484.24	1,538.74	1,471.82	1,525.75	1,525.75	16,791,240,000
Sep 09, 2007	1,453.50	1,489.58	1,439.29	1,484.25	1,484.25	14,255,590,000
Sep 02, 2007	1,473.96	1,496.40	1,449.07	1,453.55	1,453.55	11,408,870,000
Aug 26, 2007	1,479.36	1,481.47	1,432.01	1,473.99	1,473.99	13,622,910,000
Aug 19, 2007	1,445.94	1,479.40	1,430.54	1,479.37	1,479.37	15,268,400,000
Aug 12, 2007	1,453.42	1,466.29	1,370.60	1,445.94	1,445.94	21,881,180,000
Aug 05, 2007	1,433.04	1,503.89	1,427.39	1,453.64	1,453.64	26,711,530,000
Jul 29, 2007	1,458.93	1,488.30	1,432.80	1,433.06	1,433.06	22,551,040,000
Jul 22, 2007	1,534.06	1,547.23	1,458.95	1,458.95	1,458.95	20,758,930,000
Jul 15, 2007	1,552.50	1,555.90	1,529.20	1,534.10	1,534.10	16,317,700,000
Jul 08, 2007	1,530.43	1,555.10	1,506.10	1,552.50	1,552.50	15,333,250,000
Jul 01, 2007	1,504.66	1,532.40	1,504.66	1,530.44	1,530.44	9,274,250,000
Jun 24, 2007	1,502.56	1,517.53	1,484.18	1,503.35	1,503.35	16,256,050,000
Jun 17, 2007	1,532.90	1,537.32	1,500.74	1,502.56	1,502.56	16,086,160,000
Jun 10, 2007	1,507.64	1,538.71	1,492.65	1,532.91	1,532.91	14,879,070,000
Jun 03, 2007	1,536.28	1,540.53	1,487.41	1,507.67	1,507.67	15,174,500,000
May 27, 2007	1,515.55	1,540.56	1,510.06	1,536.34	1,536.34	11,814,550,000
May 20, 2007	1,522.75	1,532.43	1,505.18	1,515.73	1,515.73	15,091,900,000
May 13, 2007	1,505.76	1,522.75	1,498.34	1,522.75	1,522.75	14,590,190,000
May 06, 2007	1,505.57	1,513.80	1,491.42	1,505.85	1,505.85	14,028,380,000
Apr 29, 2007	1,494.07	1,510.34	1,476.70	1,505.62	1,505.62	15,453,470,000
Apr 22, 2007	1,484.33	1,498.02	1,473.74	1,494.07	1,494.07	14,891,970,000
Apr 15, 2007	1,452.84	1,484.74	1,452.84	1,484.35	1,484.35	15,005,590,000
Apr 08, 2007	1,443.77	1,453.11	1,433.91	1,452.85	1,452.85	13,270,300,000
Apr 01, 2007	1,420.83	1,444.88	1,416.37	1,443.76	1,443.76	10,771,190,000
Mar 25, 2007	1,436.11	1,437.65	1,408.90	1,420.86	1,420.86	14,186,810,000
Mar 18, 2007	1,386.95	1,438.89	1,386.95	1,436.11	1,436.11	14,506,880,000
Mar 11, 2007	1,402.80	1,409.34	1,363.98	1,386.95	1,386.95	16,123,460,000
Mar 05, 2007	1,387.11	1,410.15	1,373.97	1,402.84	1,402.84	15,617,930,000
Feb 26, 2007	1,451.04	1,456.95	1,380.87	1,387.17	1,387.17	17,999,820,000
Feb 19, 2007	1,455.53	1,461.57	1,448.36	1,451.19	1,451.19	9,475,560,000
Feb 12, 2007	1,438.00	1,457.97	1,431.44	1,455.54	1,455.54	12,637,490,000
Feb 05, 2007	1,448.33	1,452.99	1,433.44	1,438.06	1,438.06	13,434,950,000
Jan 29, 2007	1,422.03	1,449.33	1,418.46	1,448.39	1,448.39	13,897,760,000
Jan 22, 2007	1,430.47	1,440.69	1,416.96	1,422.18	1,422.18	13,919,320,000
Jan 15, 2007	1,430.73	1,435.27	1,424.21	1,430.50	1,430.50	10,889,710,000
Jan 08, 2007	1,409.26	1,431.23	1,403.97	1,430.73	1,430.73	14,110,730,000
Jan 01, 2007	1,418.03	1,429.42	1,405.75	1,409.71	1,409.71	9,353,020,000



